Configuration,Accuracy,Precision,Recall,F1 Score
"config=6,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=7,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=7,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=7,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=9,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=9,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=10,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.541666667,0.282608696,0.464285714,0.351351351
"config=10,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.541666667,0.282608696,0.464285714,0.351351351
"config=11,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.541666667,0.282608696,0.464285714,0.351351351
"config=12,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=12,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.541666667,0.489473684,0.492857143,0.466666667
"config=12,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=4,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.529627687,0.452173566,0.472860243,0.429777539
"config=3,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.523809524,0.289473684,0.423076923,0.34375
"config=3,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.523809524,0.495192308,0.495192308,0.495192308
"config=10,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.523809524,0.289473684,0.423076923,0.34375
"config=12,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.523809524,0.289473684,0.423076923,0.34375
"config=12,  shuffle=False, pca=False, scal=False, minmax=True, lasso=True",0.523809524,0.495192308,0.495192308,0.495192308
"config=3,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.5,0.485714286,0.485714286,0.485714286
"config=7,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.5,0.272727273,0.428571429,0.333333333
"config=7,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.5,0.272727273,0.428571429,0.333333333
"config=10,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.5,0.272727273,0.428571429,0.333333333
"config=12,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.5,0.485714286,0.485714286,0.485714286
"config=4,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.424960506,0.712480253,0.5,0.298226164
"config=4,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.41864139,0.415330742,0.488037365,0.3148885
"config=4,  shuffle=False, pca=True, scal=False, minmax=True, lasso=False",0.416360776,0.708180388,0.5,0.293965198
"config=4,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.416360776,0.708180388,0.5,0.293965198
"config=4,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.415836392,0.399272465,0.399200201,0.399235894
"config=4,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.41006817,0.410885072,0.487389699,0.310074084
"config=4,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.398630858,0.344412594,0.365854406,0.350086309
"config=4,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.355450237,0.191001698,0.418215613,0.262237762
"config=4,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.343865192,0.306382012,0.318235358,0.31095791
